인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
33,33,0.05053783,0.048566178,0.162887162,0.07653409,0.065236729,0.514673667,96.09866151,85.23878517,1.60002594,1.60002594,0.697192383,0.05053783,0.048566178
34,34,0.050193237,0.048216579,0.16486382,0.076009864,0.064748594,0.525934937,96.06190281,85.18446202,1.600331726,1.600331726,0.698874207,0.050193237,0.048216579
35,35,0.049848783,0.047872508,0.166840095,0.075490002,0.064282017,0.537142922,96.03546147,85.15302058,1.60002594,1.60002594,0.690312195,0.049848783,0.047872508
36,36,0.049448396,0.047469759,0.168818731,0.074887413,0.063750118,0.548280217,95.99858228,85.12794836,1.600178833,1.600178833,0.695204773,0.049448396,0.047469759
37,37,0.049097208,0.047183197,0.170732742,0.074357737,0.063368759,0.559269195,96.10158976,85.22147346,1.600178833,1.600178833,0.695663452,0.049097208,0.047183197
38,38,0.048800925,0.046892398,0.17264127,0.073909684,0.062963469,0.57021541,96.08915654,85.18974178,1.60002594,1.60002594,0.699638672,0.048800925,0.046892398
39,39,0.048405466,0.046487635,0.174559101,0.073312434,0.062411163,0.581116681,96.03798594,85.13039311,1.600178833,1.600178833,0.687407227,0.048405466,0.046487635
40,40,0.048001297,0.046142353,0.176418045,0.072702701,0.06193882,0.591880561,96.12730582,85.19466163,1.60002594,1.60002594,0.688477478,0.048001297,0.046142353
41,41,0.047655762,0.045798805,0.178275001,0.072184944,0.061469749,0.602595757,96.10339524,85.1559134,1.600178833,1.600178833,0.688477478,0.047655762,0.045798805
42,42,0.047257039,0.045453027,0.180079014,0.071579859,0.060991438,0.613184178,96.18255229,85.20754173,1.60002594,1.60002594,0.69306427,0.047257039,0.045453027
43,43,0.046913559,0.045110511,0.181882062,0.071060642,0.060526513,0.623718307,96.15665932,85.17586004,1.60002594,1.60002594,0.692299805,0.046913559,0.045110511
44,44,0.046569111,0.044766489,0.183684683,0.070546202,0.060066632,0.634197877,96.12914787,85.14509637,1.60002594,1.60002594,0.688324585,0.046569111,0.044766489
