인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
1,1,0.428049567,0.262791662,0.165257905,0.644013362,0.342376213,0.301637149,61.39281109,53.16290523,1.60002594,1.60002594,0.699332886,0.428049567,0.262791662
2,2,0.254722587,0.250165473,0.169815018,0.385199363,0.325477705,0.361358806,98.21095043,84.49590949,1.60002594,1.60002594,0.698415527,0.254722587,0.250165473
3,3,0.250163324,0.246163341,0.173815001,0.377503433,0.320905459,0.417956781,98.40105153,85.00729554,1.60002594,1.60002594,0.692146912,0.250163324,0.246163341
4,4,0.250185248,0.244902097,0.179098153,0.377152612,0.320035546,0.475073846,97.888304,84.85571516,1.60002594,1.60002594,0.699332886,0.250185248,0.244902097
5,5,0.251509116,0.2446868,0.185920469,0.378804016,0.320238194,0.533639668,97.2874478,84.53928162,1.60002594,1.60002594,0.698415527,0.251509116,0.2446868
6,6,0.251145093,0.242596367,0.194469195,0.378174569,0.31789291,0.593921328,96.59610076,84.05983268,1.60002594,1.60002594,0.694746094,0.251145093,0.242596367
7,7,0.252530555,0.243319612,0.203680138,0.380008624,0.31907681,0.654853142,96.35254319,83.96567592,1.60002594,1.60002594,0.696580811,0.252530555,0.243319612
8,8,0.254811025,0.243069687,0.215421476,0.383158199,0.319034357,0.718976984,95.39213871,83.26439512,1.60002594,1.60002594,0.699485779,0.254811025,0.243069687
9,9,0.256710837,0.243041512,0.229090801,0.385856616,0.319252992,0.785580608,94.67520533,82.73876318,1.600178833,1.600178833,0.695510559,0.256710837,0.243041512
10,10,0.255656507,0.24124739,0.243499918,0.384295371,0.317072156,0.852803824,94.36387633,82.50740954,1.60002594,1.60002594,0.699638672,0.255656507,0.24124739
11,11,0.253396687,0.238733629,0.258162976,0.380984422,0.313907304,0.919880942,94.2133978,82.39373743,1.60002594,1.60002594,0.697803955,0.253396687,0.238733629
12,12,0.250113124,0.23541491,0.272861191,0.376128891,0.309622586,0.986387246,94.12337347,82.31821427,1.60002594,1.60002594,0.698721313,0.250113124,0.23541491
