인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
33,33,0.111453095,0.104228321,1.280120027,0.169974742,0.144870425,2.825536239,93.51765529,85.23056049,1.60002594,1.60002594,0.697956848,0.111453095,0.104228321
34,34,0.108603315,0.101037534,1.287685808,0.165676639,0.14041061,2.850802267,93.03356304,84.74979426,1.60002594,1.60002594,0.690923767,0.108603315,0.101037534
35,35,0.103945784,0.097430188,1.294201405,0.158594949,0.13532271,2.874074506,93.73173584,85.32598981,1.600178833,1.600178833,0.698109741,0.103945784,0.097430188
36,36,0.103897052,0.095769074,1.302329383,0.15859782,0.133047675,2.899624651,92.17689247,83.88997715,1.60002594,1.60002594,0.699485779,0.103897052,0.095769074
37,37,0.098781303,0.092506245,1.308604441,0.150745332,0.128456384,2.9219136,93.64752442,85.21417026,1.60002594,1.60002594,0.694134521,0.098781303,0.092506245
38,38,0.096484591,0.089979749,1.315109283,0.147258816,0.124924661,2.944247755,93.25815473,84.83339991,1.60002594,1.60002594,0.693522949,0.096484591,0.089979749
39,39,0.09381842,0.087810939,1.321116764,0.143191077,0.121874119,2.965564713,93.5966937,85.11292897,1.60002594,1.60002594,0.698415527,0.09381842,0.087810939
40,40,0.090747266,0.085256572,1.326607458,0.138499151,0.118254013,2.985809851,93.94946622,85.38248179,1.60002594,1.60002594,0.688171692,0.090747266,0.085256572
41,41,0.088075774,0.082975132,1.331708099,0.134415258,0.115051586,3.005173524,94.20880274,85.59414124,1.600331726,1.600331726,0.688171692,0.088075774,0.082975132
42,42,0.086089298,0.080662579,1.337134818,0.131403614,0.111823171,3.024753967,93.69640737,85.09900694,1.600484619,1.600484619,0.698415527,0.086089298,0.080662579
43,43,0.083638313,0.078531912,1.342241219,0.127658798,0.108828894,3.043583871,93.89466327,85.2498187,1.600178833,1.600178833,0.693522949,0.083638313,0.078531912
44,44,0.081057996,0.076342552,1.346956662,0.123768989,0.105750366,3.061602494,94.18263009,85.4417304,1.60002594,1.60002594,0.696275024,0.081057996,0.076342552
45,45,0.078929876,0.074392661,1.351493878,0.120464688,0.103016161,3.079051022,94.25158668,85.51564979,1.600178833,1.600178833,0.694440308,0.078929876,0.074392661
46,46,0.077429315,0.072700284,1.356222909,0.118201714,0.100695527,3.096557209,93.89245381,85.1895656,1.60002594,1.60002594,0.692758484,0.077429315,0.072700284
47,47,0.075613376,0.071005852,1.360830434,0.115479648,0.098281309,3.113755548,93.9064685,85.1070391,1.600178833,1.600178833,0.696580811,0.075613376,0.071005852
