인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
1,1,0.608480175,0.430525517,0.177954658,0.865578557,0.603789086,0.261789471,70.75423901,69.75555035,1.60002594,1.60002594,0.695357666,0.608480175,0.430525517
2,2,0.450798088,0.360496832,0.268255913,0.655683675,0.504628206,0.41284494,79.96858062,76.9621428,1.60002594,1.60002594,0.695969238,0.450798088,0.360496832
3,3,0.398154142,0.322196088,0.344213968,0.578826186,0.452202726,0.539468399,80.92245021,78.12409621,1.600178833,1.600178833,0.696122131,0.398154142,0.322196088
4,4,0.359425358,0.294104332,0.409534995,0.524817038,0.413035521,0.651249916,81.82626093,78.7008597,1.60002594,1.60002594,0.696275024,0.359425358,0.294104332
5,5,0.330629651,0.271295757,0.468868888,0.483676229,0.381108142,0.753818003,82.05427324,78.79406083,1.60002594,1.60002594,0.699791565,0.330629651,0.271295757
6,6,0.300294889,0.247892364,0.521271413,0.439722481,0.34830436,0.845236125,82.54964483,79.21004151,1.600178833,1.600178833,0.694287415,0.300294889,0.247892364
7,7,0.275251162,0.22826118,0.568261395,0.403186136,0.320851566,0.927570694,82.92832561,79.57901772,1.600178833,1.600178833,0.699485779,0.275251162,0.22826118
8,8,0.249450357,0.208209637,0.609502116,0.365571562,0.292746144,1.000396111,83.46736369,80.07902554,1.60002594,1.60002594,0.697803955,0.249450357,0.208209637
9,9,0.227635722,0.191472263,0.645665575,0.33366073,0.269245904,1.064810938,84.11345152,80.69451371,1.60002594,1.60002594,0.696275024,0.227635722,0.191472263
10,10,0.212608879,0.178504299,0.679770155,0.31175436,0.25115364,1.125411658,83.95900464,80.56138816,1.60002594,1.60002594,0.695357666,0.212608879,0.178504299
11,11,0.194551526,0.164225486,0.710096195,0.285463943,0.231111815,1.179763786,84.4123351,80.96007249,1.600178833,1.600178833,0.696122131,0.194551526,0.164225486
12,12,0.180550571,0.152334264,0.738312503,0.265014789,0.214446984,1.230331591,84.37207525,80.91887417,1.60002594,1.60002594,0.698721313,0.180550571,0.152334264
13,13,0.178674291,0.149990714,0.76699608,0.262296048,0.211038354,1.281589285,83.94644407,80.4580761,1.60002594,1.60002594,0.697345276,0.178674291,0.149990714
14,14,0.161924227,0.136237587,0.79268272,0.237596644,0.191540137,1.327645792,84.13662939,80.61567433,1.60002594,1.60002594,0.696886597,0.161924227,0.136237587
15,15,0.15041721,0.126906043,0.816193888,0.220695944,0.178395801,1.369945935,84.36936361,80.83329385,1.60002594,1.60002594,0.69856842,0.15041721,0.126906043
16,16,0.140880943,0.119276893,0.837797938,0.20664262,0.167639596,1.40894896,84.66502975,81.12537278,1.60002594,1.60002594,0.697651062,0.140880943,0.119276893
17,17,0.133401825,0.113180575,0.858019189,0.195688455,0.159073714,1.445563701,84.84184883,81.28926858,1.60002594,1.60002594,0.699638672,0.133401825,0.113180575
18,18,0.125554219,0.106946868,0.87662654,0.184170951,0.150243769,1.479490883,85.17982788,81.57842935,1.60002594,1.60002594,0.697956848,0.125554219,0.106946868
19,19,0.119746302,0.102235133,0.894137709,0.175720361,0.143638515,1.511572729,85.37644289,81.7426701,1.600178833,1.600178833,0.697498169,0.119746302,0.102235133
20,20,0.114125276,0.097733877,0.910529108,0.167491168,0.137312517,1.541751381,85.6373635,81.98194449,1.60002594,1.60002594,0.697956848,0.114125276,0.097733877
21,21,0.109020656,0.093594113,0.92595565,0.16000213,0.131488887,1.570264624,85.8498901,82.17946018,1.60002594,1.60002594,0.698721313,0.109020656,0.093594113
22,22,0.1043868,0.089821275,0.940521175,0.153199646,0.126180487,1.597283783,86.04658355,82.3634325,1.60002594,1.60002594,0.69856842,0.1043868,0.089821275
23,23,0.100420247,0.086611938,0.954329485,0.147386657,0.121684709,1.622985731,86.24947666,82.56155039,1.60002594,1.60002594,0.699332886,0.100420247,0.086611938
24,24,0.096472543,0.083395076,0.967406951,0.141616973,0.117153325,1.647449379,86.44436399,82.72548308,1.60002594,1.60002594,0.696733704,0.096472543,0.083395076
25,25,0.093010492,0.080545653,0.97987179,0.136546502,0.113154097,1.670841784,86.59845993,82.8685431,1.60002594,1.60002594,0.697651062,0.093010492,0.080545653
26,26,0.089968794,0.078024505,0.991816079,0.13210364,0.109616375,1.693329049,86.72396451,82.97755841,1.60002594,1.60002594,0.696122131,0.089968794,0.078024505
