인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
33,33,0.043780429,0.042651229,0.084068915,0.06573074,0.051971084,0.513233948,97.4207646,79.06663476,1.600002441,1.600002441,0.69980957,0.043780429,0.042651229
34,34,0.043853643,0.042713858,0.0852087,0.06582996,0.05206299,0.527000918,97.40093266,79.08707613,1.600002441,1.600002441,0.699656372,0.043853643,0.042713858
35,35,0.043860701,0.042750121,0.08631928,0.065836087,0.052106523,0.540730482,97.46793905,79.14583791,1.600002441,1.600002441,0.699503174,0.043860701,0.042750121
36,36,0.0438543,0.042727609,0.087445971,0.065826091,0.052073536,0.554483038,97.43083239,79.10774374,1.600002441,1.600002441,0.699962769,0.0438543,0.042727609
37,37,0.043819668,0.042695751,0.088569887,0.065775272,0.052027475,0.568230834,97.43513164,79.0988376,1.600002441,1.600002441,0.699503174,0.043819668,0.042695751
38,38,0.043811653,0.042690229,0.089691311,0.065766017,0.052020395,0.581976456,97.4403521,79.09920224,1.600002441,1.600002441,0.69980957,0.043811653,0.042690229
39,39,0.04377159,0.0426544,0.090808502,0.065704638,0.051971066,0.595710028,97.44768113,79.09801727,1.600002441,1.600002441,0.69980957,0.04377159,0.0426544
40,40,0.043780833,0.042671701,0.091917634,0.065721959,0.051994344,0.609437643,97.46662721,79.11258993,1.600002441,1.600002441,0.699656372,0.043780833,0.042671701
41,41,0.043766323,0.042649192,0.093034765,0.06570047,0.051961539,0.623176574,97.44751045,79.08853505,1.600002441,1.600002441,0.699503174,0.043766323,0.042649192
42,42,0.043719646,0.042613329,0.094141081,0.065628897,0.051907906,0.636897566,97.46952099,79.09306407,1.600002441,1.600002441,0.699962769,0.043719646,0.042613329
43,43,0.043741053,0.042624019,0.095258115,0.065667808,0.051930419,0.650634955,97.44625702,79.08048206,1.600002441,1.600002441,0.699962769,0.043741053,0.042624019
